[22:28:23] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[22:28:24] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:28:24] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:28:24] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[22:28:24] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[22:28:24] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:28:24] [ServerMain/INFO]: Reloading ResourceManager: Default
[22:28:25] [Worker-Main-13/INFO]: Loaded 7 recipes
[22:28:25] [Worker-Main-13/INFO]: Loaded 1141 advancements
[22:28:30] [Server thread/INFO]: Starting minecraft server version 1.18.1
[22:28:30] [Server thread/INFO]: Loading properties
[22:28:30] [Server thread/INFO]: Default game type: SURVIVAL
[22:28:30] [Server thread/INFO]: Generating keypair
[22:28:30] [Server thread/INFO]: Starting Minecraft server on *:25565
[22:28:30] [Server thread/INFO]: Using default channel type
[22:28:31] [Server thread/INFO]: Preparing level "world"
[22:28:52] [Worker-Main-23/INFO]: Preparing spawn area: 11%
[22:28:53] [Worker-Main-22/INFO]: Preparing spawn area: 12%
[22:28:53] [Worker-Main-21/INFO]: Preparing spawn area: 13%
[22:28:54] [Worker-Main-12/INFO]: Preparing spawn area: 15%
[22:28:54] [Worker-Main-16/INFO]: Preparing spawn area: 16%
[22:28:55] [Worker-Main-15/INFO]: Preparing spawn area: 17%
[22:28:55] [Worker-Main-13/INFO]: Preparing spawn area: 17%
[22:28:56] [Worker-Main-12/INFO]: Preparing spawn area: 19%
[22:28:56] [Worker-Main-25/INFO]: Preparing spawn area: 20%
[22:28:57] [Worker-Main-15/INFO]: Preparing spawn area: 20%
[22:28:57] [Worker-Main-23/INFO]: Preparing spawn area: 22%
[22:28:58] [Worker-Main-12/INFO]: Preparing spawn area: 23%
[22:28:58] [Worker-Main-13/INFO]: Preparing spawn area: 25%
[22:28:59] [Worker-Main-22/INFO]: Preparing spawn area: 26%
[22:28:59] [Worker-Main-15/INFO]: Preparing spawn area: 27%
[22:29:00] [Worker-Main-13/INFO]: Preparing spawn area: 28%
[22:29:00] [Worker-Main-12/INFO]: Preparing spawn area: 30%
[22:29:01] [Worker-Main-23/INFO]: Preparing spawn area: 32%
[22:29:01] [Worker-Main-25/INFO]: Preparing spawn area: 33%
[22:29:04] [Worker-Main-17/INFO]: Preparing spawn area: 33%
[22:29:04] [Worker-Main-17/INFO]: Preparing spawn area: 33%
[22:29:04] [Worker-Main-17/INFO]: Preparing spawn area: 33%
[22:29:04] [Worker-Main-17/INFO]: Preparing spawn area: 33%
[22:29:04] [Worker-Main-17/INFO]: Preparing spawn area: 33%
[22:29:04] [Worker-Main-17/INFO]: Preparing spawn area: 37%
[22:29:05] [Worker-Main-23/INFO]: Preparing spawn area: 40%
[22:29:05] [Worker-Main-25/INFO]: Preparing spawn area: 44%
[22:29:06] [Worker-Main-22/INFO]: Preparing spawn area: 48%
[22:29:06] [Worker-Main-15/INFO]: Preparing spawn area: 51%
[22:29:07] [Worker-Main-13/INFO]: Preparing spawn area: 55%
[22:29:07] [Worker-Main-25/INFO]: Preparing spawn area: 58%
[22:29:08] [Worker-Main-21/INFO]: Preparing spawn area: 61%
[22:29:08] [Worker-Main-14/INFO]: Preparing spawn area: 65%
[22:29:09] [Worker-Main-12/INFO]: Preparing spawn area: 68%
[22:29:09] [Worker-Main-15/INFO]: Preparing spawn area: 72%
[22:29:10] [Worker-Main-24/INFO]: Preparing spawn area: 75%
[22:29:10] [Worker-Main-23/INFO]: Preparing spawn area: 78%
[22:29:11] [Worker-Main-17/INFO]: Preparing spawn area: 81%
[22:29:11] [Worker-Main-14/INFO]: Preparing spawn area: 83%
[22:29:12] [Worker-Main-15/INFO]: Preparing spawn area: 86%
[22:29:12] [Worker-Main-13/INFO]: Preparing spawn area: 90%
[22:29:13] [Worker-Main-16/INFO]: Preparing spawn area: 92%
[22:29:13] [Worker-Main-24/INFO]: Preparing spawn area: 96%
[22:29:13] [Server thread/INFO]: Time elapsed: 32811 ms
[22:29:13] [Server thread/INFO]: Done (42.284s)! For help, type "help"
